"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Tetotér","Panelprogram","Parkolóhely ára"
"147","XI. kerület, Hadak útja 5.","82,9 millió Ft","68 m²","1 + 3 fél","""Egyedi, formabontó épület mely, igazi felfrissülés a tömbházak között.A lakások ideális tájolásúak. Nem csak a szabadon álló telekbol fakadó nagyszeru benapozási lehetoségeket aknáztunk ki, hanem igyekeztünk a távoli hegyekre történo kilátást is lehetové tenni. Az épületben 86 új építésu lakás vár gazdára, 28-100 m2-ig melyek terasszal és tetokertekkel rendelkeznek.A Trendo11 kétséget kizárólag érdekes színfoltja lesz Kelenföld várossziluettjének.""Az épület a XI.kerület leggyorsabban fejlodo részén Újbudán az Etele pláza közelében a Hadak útja 5. szám alatt található . A metrónak és a közelben futó villamosnak köszönhetoen gyorsan és kényelmesssen elérheto többek között a belváros, számos egyetem, Duna- part, míg az ország többi részét a karnyújtásnyira lévo Kelenföldi vasútállomás és az M1-M7 bevezeto szakasza teszi könnyen elérhetové ezért képes vonzó lakó- és munkakörnyezetet biztosítani az itt éloknek. A kerület versenyképes városfejlodése csábító célpontja a befektetoknek is.Központi elhelyezkedésu lakópark.","új építésu","2021","nincs megadva","nincs megadva","3","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, padlófutés","van","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","15 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"6 000 000 Ft"
"148","XV. kerület, Korakás park","37,2 millió Ft","64 m²","2 + 1 fél","Eladó Palotán a XV. kerületének egyik legkedveltebb részén, a Korakás parkban, 6. emeleten elhelyezkedo, 68 m2, 2+1 félszobás, ablakos konyhás, erkélyes,légkondicionálós, körbe panorámás, gardróbos, kamrás, nagyon szép állapotú lakás!A szobák laminált parkettásak, a többi helyiség világos színu hideg burkolattal ellátott. A vezetékek és a radiátorok cserélve lettek, a bejárati ajtó több ponton záródó biztonsági ajtó. A nyílászárók a loggián lévo ablak kivételével újak (Borovi fenyo), hoszigeteltek.Saját pincerésze van, mely 6 m2.Közös költség: 15 600 Ft/hó, melyben benne van a ház megtakarítási összege is.Ideális családosoknak, befektetoknek is egyaránt.Aki hosszútávú befektetésben gondolkodik, bérbeadás esetén kb. 150 000 Ft + rezsi / hó bérleti díjért lehet kiadni, ami éves szinten1 800 000 Ft hozamot is termelhet a tulajdonosnak.Kiváló közlekedés és infrastruktúra: A 7-es busz pár perc gyalog, amivel a belváros gyorsan megközelítheto. Közelben a Pólus, Ázsia Center, Auchan, Lidl, ALDI, M3-as autópálya. Iskola, óvoda, orvosi rendelo, számos bevásárlási lehetoség elérheto a közelben.Amennyiben hitelre, CSOK-ra lenne szüksége az ingatlan megvásárlásához vagy bármilyen jogi kérdése merülne fel, hívjon bizalommal, irodánk minden problémájára megtalálja a megoldást!Bármikor fogadom hívását, ha nem lennék elérheto, visszahívom!Hivatkozási szám: 1733","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","6","10","van","3 m-nél alacsonyabb","távfutés","nincs","nincs megadva","igen","külön helyiségben","délnyugat","panorámás","4 m²","nincs megadva","utca, közterület","nincs megadva","nincs megadva",NA
"149","VII. kerület, Külso-Erzsébetváros - Ligetváros","64 millió Ft","68 m²","2","VII.  A Liget projekt által megújuló Városliget  és Állatorvostudományi egyetem vonzásában eladó 2020- ban épült, kulcsrakész  67.6  m2-es , napfényes , belso kétszintes (duplex) , dupla komfortos lakás felújított liftes épületben.A futést cirkókazán biztosítja, klíma és riasztó lakáson belül ki van építve.A tágas nappaliban található AEG és Electrolux gépekkel felszerelt konyhabútor a lakás tartozéka.ElosztásaAlsó szint : Eloszoba , konyha , nappali , közlekedo, fürdoszoba.Felso szint: Közlekedo, hálószoba, fürdoszoba, tároló,  5.6 m2 terasz .Remek befektetés .Rugalmasan megtekintheto.Hívjon bizalommal(Ugyanebben az épületben további 60 és 95 m2 közötti duplex ingatlanok eladók , melyeket megtalál a hirdetéseim  alatt )","nincs megadva","2020","duplakomfortos","nincs megadva","4","4","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","délkelet","udvari","5.6 m²","nincs megadva","nincs megadva","zárószint",NA,NA
"150","VII. kerület, Külso-Erzsébetváros - Ligetváros","178 ezer €","68 m²","2","VII.  A Liget projekt által megújuló Városliget  és Állatorvostudományi egyetem vonzásában eladó 2020- ban épült, kulcsrakész  67.6  m2-es , napfényes , belso kétszintes (duplex) , dupla komfortos lakás felújított liftes épületben.A futést cirkókazán biztosítja, klíma és riasztó lakáson belül ki van építve.A tágas nappaliban található AEG és Electrolux gépekkel felszerelt konyhabútor a lakás tartozéka.ElosztásaAlsó szint : Eloszoba , konyha , nappali , közlekedo, fürdoszoba.Felso szint: Közlekedo, hálószoba, fürdoszoba, tároló,  5.6 m2 terasz .Remek befektetés .Rugalmasan megtekintheto.Hívjon bizalommal(Ugyanebben az épületben további 60 és 95 m2 közötti duplex ingatlanok eladók , melyeket megtalál a hirdetéseim  alatt )","nincs megadva","2020","duplakomfortos","nincs megadva","4","4","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","délkelet","udvari","5.6 m²","nincs megadva","nincs megadva","zárószint",NA,NA
"151","XI. kerület, Hadak útja 5.","74,5 millió Ft","64 m²","1 + 1 fél","""Egyedi, formabontó épület mely, igazi felfrissülés a tömbházak között.A lakások ideális tájolásúak. Nem csak a szabadon álló telekbol fakadó nagyszeru benapozási lehetoségeket aknáztunk ki, hanem igyekeztünk a távoli hegyekre történo kilátást is lehetové tenni. Az épületben 86 új építésu lakás vár gazdára, 28-100 m2-ig melyek terasszal és tetokertekkel rendelkeznek.A Trendo11 kétséget kizárólag érdekes színfoltja lesz Kelenföld várossziluettjének.""Az épület a XI.kerület leggyorsabban fejlodo részén Újbudán az Etele pláza közelében a Hadak útja 5. szám alatt található . A metrónak és a közelben futó villamosnak köszönhetoen gyorsan és kényelmesssen elérheto többek között a belváros, számos egyetem, Duna- part, míg az ország többi részét a karnyújtásnyira lévo Kelenföldi vasútállomás és az M1-M7 bevezeto szakasza teszi könnyen elérhetové ezért képes vonzó lakó- és munkakörnyezetet biztosítani az itt éloknek. A kerület versenyképes városfejlodése csábító célpontja a befektetoknek is.Központi elhelyezkedésu lakópark.","új építésu","2021","nincs megadva","nincs megadva","3","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, padlófutés","van","nincs megadva","nincs megadva","nincs megadva","északnyugat","nincs megadva","5 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"6 000 000 Ft"
"152","XI. kerület, Hadak útja 5.","52 millió Ft","42 m²","1 + 1 fél","""Egyedi, formabontó épület mely, igazi felfrissülés a tömbházak között.A lakások ideális tájolásúak. Nem csak a szabadon álló telekbol fakadó nagyszeru benapozási lehetoségeket aknáztunk ki, hanem igyekeztünk a távoli hegyekre történo kilátást is lehetové tenni. Az épületben 86 új építésu lakás vár gazdára, 28-100 m2-ig melyek terasszal és tetokertekkel rendelkeznek.A Trendo11 kétséget kizárólag érdekes színfoltja lesz Kelenföld várossziluettjének.""Az épület a XI.kerület leggyorsabban fejlodo részén Újbudán az Etele pláza közelében a Hadak útja 5. szám alatt található . A metrónak és a közelben futó villamosnak köszönhetoen gyorsan és kényelmesssen elérheto többek között a belváros, számos egyetem, Duna- part, míg az ország többi részét a karnyújtásnyira lévo Kelenföldi vasútállomás és az M1-M7 bevezeto szakasza teszi könnyen elérhetové ezért képes vonzó lakó- és munkakörnyezetet biztosítani az itt éloknek. A kerület versenyképes városfejlodése csábító célpontja a befektetoknek is.Központi elhelyezkedésu lakópark.","új építésu","2021","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, padlófutés","van","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","6 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"6 000 000 Ft"
"153","XI. kerület, Hadak útja 5.","112,4 millió Ft","91 m²","1 + 3 fél","""Egyedi, formabontó épület mely, igazi felfrissülés a tömbházak között.A lakások ideális tájolásúak. Nem csak a szabadon álló telekbol fakadó nagyszeru benapozási lehetoségeket aknáztunk ki, hanem igyekeztünk a távoli hegyekre történo kilátást is lehetové tenni. Az épületben 86 új építésu lakás vár gazdára, 28-100 m2-ig melyek terasszal és tetokertekkel rendelkeznek.A Trendo11 kétséget kizárólag érdekes színfoltja lesz Kelenföld várossziluettjének.""Az épület a XI.kerület leggyorsabban fejlodo részén Újbudán az Etele pláza közelében a Hadak útja 5. szám alatt található . A metrónak és a közelben futó villamosnak köszönhetoen gyorsan és kényelmesssen elérheto többek között a belváros, számos egyetem, Duna- part, míg az ország többi részét a karnyújtásnyira lévo Kelenföldi vasútállomás és az M1-M7 bevezeto szakasza teszi könnyen elérhetové ezért képes vonzó lakó- és munkakörnyezetet biztosítani az itt éloknek. A kerület versenyképes városfejlodése csábító célpontja a befektetoknek is.Központi elhelyezkedésu lakópark.","új építésu","2021","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, padlófutés","van","nincs megadva","nincs megadva","nincs megadva","délnyugat","nincs megadva","38 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"6 000 000 Ft"
"154","XI. kerület, Hadak útja 5.","83 millió Ft","67 m²","1 + 2 fél","""Egyedi, formabontó épület mely, igazi felfrissülés a tömbházak között.A lakások ideális tájolásúak. Nem csak a szabadon álló telekbol fakadó nagyszeru benapozási lehetoségeket aknáztunk ki, hanem igyekeztünk a távoli hegyekre történo kilátást is lehetové tenni. Az épületben 86 új építésu lakás vár gazdára, 28-100 m2-ig melyek terasszal és tetokertekkel rendelkeznek.A Trendo11 kétséget kizárólag érdekes színfoltja lesz Kelenföld várossziluettjének.""Az épület a XI.kerület leggyorsabban fejlodo részén Újbudán az Etele pláza közelében a Hadak útja 5. szám alatt található . A metrónak és a közelben futó villamosnak köszönhetoen gyorsan és kényelmesssen elérheto többek között a belváros, számos egyetem, Duna- part, míg az ország többi részét a karnyújtásnyira lévo Kelenföldi vasútállomás és az M1-M7 bevezeto szakasza teszi könnyen elérhetové ezért képes vonzó lakó- és munkakörnyezetet biztosítani az itt éloknek. A kerület versenyképes városfejlodése csábító célpontja a befektetoknek is.Központi elhelyezkedésu lakópark.","új építésu","2021","nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, padlófutés","van","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","26 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"6 000 000 Ft"
"155","XI. kerület, Hadak útja 5.","57 millió Ft","43 m²","1 + 1 fél","""Egyedi, formabontó épület mely, igazi felfrissülés a tömbházak között.A lakások ideális tájolásúak. Nem csak a szabadon álló telekbol fakadó nagyszeru benapozási lehetoségeket aknáztunk ki, hanem igyekeztünk a távoli hegyekre történo kilátást is lehetové tenni. Az épületben 86 új építésu lakás vár gazdára, 28-100 m2-ig melyek terasszal és tetokertekkel rendelkeznek.A Trendo11 kétséget kizárólag érdekes színfoltja lesz Kelenföld várossziluettjének.""Az épület a XI.kerület leggyorsabban fejlodo részén Újbudán az Etele pláza közelében a Hadak útja 5. szám alatt található . A metrónak és a közelben futó villamosnak köszönhetoen gyorsan és kényelmesssen elérheto többek között a belváros, számos egyetem, Duna- part, míg az ország többi részét a karnyújtásnyira lévo Kelenföldi vasútállomás és az M1-M7 bevezeto szakasza teszi könnyen elérhetové ezért képes vonzó lakó- és munkakörnyezetet biztosítani az itt éloknek. A kerület versenyképes városfejlodése csábító célpontja a befektetoknek is.Központi elhelyezkedésu lakópark.","új építésu","2021","nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, padlófutés","van","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","26 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"6 000 000 Ft"
"156","Szeged, Belváros","13,5 millió Ft","77 m²","3","Home and People azonosító: 15897Szegeden a Mars tér közelében 77 m2-es téglalakás BÉRLETI JOGA megvásárolható.Legfobb tudnivalók:- 77 m2 ( 3 szoba, konyha, fürdoszoba, kamra)- jelenleg a 3 szoba egymásból nyílik, de a középso szobába egy gipszkartonfal emelésével két különnyíló szobát kapunk és még egy gardrób helyiségnek is marad hely-konvektoros futés- elso emeleti- 2 szoba laminált padlót, a legutolsó szoba pedig faparkettás- nagyméretu tusolós fürdoszoba- jelenleg 54 000 Ft a bérleti díj a közös költséggel együtt, de ez az új tulajdonosnál változhatIrányár: 13 500 000 FtKunji Nóra Home and People akciós forint HITELEK:1Millió Forint 10 évre ˜ 10.647 Ft/hó*Magasabb hitelösszeg esetén a havi törlesztorészlet arányosan növekszikEgyedi Home and People akció:4 Millió Forint 10 évre akár 4,5 millió Forintos visszafizetéssel*Részletekért és díjmentes kalkulációkért keresse hitelspecialista kollégánkat:Szalai Gábor HitelspecialistaHorgonyA megadott adatok csak tájékoztató jelleguek, ajánlattételnek nem minosülnek!Kizárólag a legismertebb bankokkal dolgozunk!.","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","23,5 E Ft/hó","nem","egy helyiségben","nyugat","utcai","nincs megadva","nem","utca, közterület - fizetos övezet","nem tetotéri",NA,NA
"157","Szeged, Makkosház","22 millió Ft","55 m²","2","Home&People azonosító:#15903Pokornyi TamásIngatlanreferensAMENNYIBEN KOLLÉGÁNK ELFOGLALT, KÉRJEN VISSZAHÍVÁST SMS-BEN A +-es TELEFONSZÁMON!Panellakás Makkosházán eladó!55m2 2szobás lakás5 emeletesben 3. emeletiMuanyag nyílászárókErkélyesFrekventált helyen helyezkedik elPanelprogramon átesettIrányár: 21 999 000 FtHívjon bizalommal!Pokornyi Tamás IngatlanreferensHome and People akciós forint HITELEK:1Millió Forint 10 évre ˜ 10.647 Ft/hó*Magasabb hitelösszeg esetén a havi törlesztorészlet arányosan növekszikEgyedi Home and People akció:4 Millió Forint 10 évre akár 4,5 millió Forintos visszafizetéssel*Részletekért és díjmentes kalkulációkért keresse hitelspecialista kollégánkat:Szalai Gábor HitelspecialistaA megadott adatok csak tájékoztató jelleguek, ajánlattételnek nem minosülnek!Kizárólag a legismertebb bankokkal dolgozunk!","nincs megadva","1950 és 1980 között","összkomfortos","nincs megadva","3","5","nincs","nincs megadva","távfutés","nincs","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","3 m²","nincs megadva","utca, közterület - ingyenes","nincs megadva","nincs megadva",NA
"158","Gyula, Kossuth Lajos tér","32,8 millió Ft","85 m²","2 + 1 fél","Eladásra kínálok Gyula város abszolút belvárosában egy 4 lakásos társasház földszintjén található 85 m2-es tégla lakást, melyhez saját használatú belso gépkocsi parkoló is tartozik. Az ingatlan futése gázkazánról muködik radiátoros ho leadással. A teljes villanyhálózat és a burkolatok is felújításra kerültek. A nyílászárók hoszigetelt üvegezéssel ellátottak. Belvárosi elhelyezkedése lévén akár magáncélra akár befektetésnek is kiválóan alkalmas, kiadásra, apartmanozásra. A lakásban jelenleg két önálló lakrész került kialakításra, mely igény szerint könnyen egybenyitható. Kérdés esetén hívjon bizalommal.","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","földszint","2","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"159","XVII. kerület, Rákoscsaba-Újtelep","80,5 millió Ft","81 m²","4","Furmint házak II.A Naplás-tó tájvédelmi körzet közelében épülo Furmint házak emberi léptéku otthonokat kínálnak. A 15-16 lakásból álló házak 100 százalékban megújuló energiaforrást használnak (Stiebel Eltron futési-hutési rendszer), okosotthon megoldásaink (NGBS smart-home) biztosítják a teljesköru kényelmet.INNOVATÍV MEGOLDÁSOKA házak hutése és futése 100 százalékban megújuló forrásból, Stiebel Eltron által szállított rendszerrel. Az NGBS okosotthon vezérlésnek köszönhetoen Ön akár távolról, mobiltelefonja segítségével beállíthatja a ház homérsékletét, így otthonába érve tökéletes klíma fogadja.Lakásainkat a weboldalunkon letöltheto muszaki leírásban foglaltak alapján valósítjuk meg. Az abban foglaltaktól való eltérést csak az adott muszaki kivitelezés elotti idoszakban tudjuk megvalósítani.ZÖLD KÖRNYEZETAz otthon a nyugalom és a béke szigete egy rohanó világban. A Furmintházak Budapesten, de a természethez közel épülnek. A Naplás-tó szomszédságában valóban páratlan zöld környezet várja haza. VÁROS A VÁROSBANA Szololiget Öko-park területén 75 férohelyes óvoda és kétcsoportos bölcsode épül. A szintén felépítendo egészségügyi centrumban nem csak felnott és gyermekorvosi rendelo, de magán egészségügyi intézmények is elérhetoek lesznek az ide költözok számára. Parkon belüli tónál reprezentatív étterem várja az éhes vendégeket.A beruházás helye: Budapest XVII.kerület Cinkotai-Naplás útBeruházás kezdete: 2021.szeptemberMuszaki átadás várható ideje: 2023.tavaszProjekt videó: https://www.youtube.com/channel/UCl1gAVTLaiPwPk9mKX_iFRQFedett felszíni beállási lehetoség: 2.300.000.- Ft/db.A terasz 50%-ban beszámításra került a lakás méretébe.Szívesen várjuk elore egyeztetett idopontban, irodánkban egy személyes találkozóra (X. Salamon utca 2B), további részletek megbeszélésére. Ezen hirdetés és az abban szereplo információk nem minosülnek hivatalos ajánlattételnek! A változtatás jogát fenntartjuk. Hirdetésben szereplo képek illusztrációk!","új építésu","2023","duplakomfortos","BB","2","2","van","3 m-nél alacsonyabb","megújuló energia, mennyezeti hutés-futés","van","nincs megadva","nem","külön és egyben is","délnyugat","panorámás","71.42 m²","nincs megadva","udvari beálló - megvásárolható","penthouse",NA,"2 300 000 Ft"
"160","XVII. kerület, Rákoscsaba-Újtelep","85,7 millió Ft","87 m²","4","Furmint házak II.A Naplás-tó tájvédelmi körzet közelében épülo Furmint házak emberi léptéku otthonokat kínálnak. A 15-16 lakásból álló házak 100 százalékban megújuló energiaforrást használnak (Stiebel Eltron futési-hutési rendszer), okosotthon megoldásaink (NGBS smart-home) biztosítják a teljesköru kényelmet.INNOVATÍV MEGOLDÁSOKA házak hutése és futése 100 százalékban megújuló forrásból, Stiebel Eltron által szállított rendszerrel. Az NGBS okosotthon vezérlésnek köszönhetoen Ön akár távolról, mobiltelefonja segítségével beállíthatja a ház homérsékletét, így otthonába érve tökéletes klíma fogadja.Lakásainkat a weboldalunkon letöltheto muszaki leírásban foglaltak alapján valósítjuk meg. Az abban foglaltaktól való eltérést csak az adott muszaki kivitelezés elotti idoszakban tudjuk megvalósítani.ZÖLD KÖRNYEZETAz otthon a nyugalom és a béke szigete egy rohanó világban. A Furmintházak Budapesten, de a természethez közel épülnek. A Naplás-tó szomszédságában valóban páratlan zöld környezet várja haza. VÁROS A VÁROSBANA Szololiget Öko-park területén 75 férohelyes óvoda és kétcsoportos bölcsode épül. A szintén felépítendo egészségügyi centrumban nem csak felnott és gyermekorvosi rendelo, de magán egészségügyi intézmények is elérhetoek lesznek az ide költözok számára. Parkon belüli tónál reprezentatív étterem várja az éhes vendégeket.A beruházás helye: Budapest XVII.kerület Cinkotai-Naplás útBeruházás kezdete: 2021.szeptemberMuszaki átadás várható ideje: 2023.tavaszProjekt videó: https://www.youtube.com/channel/UCl1gAVTLaiPwPk9mKX_iFRQFedett felszíni beállási lehetoség: 2.300.000.- Ft/db.A terasz 50%-ban beszámításra került a lakás méretébe.Szívesen várjuk elore egyeztetett idopontban, irodánkban egy személyes találkozóra (X. Salamon utca 2B), további részletek megbeszélésére. Ezen hirdetés és az abban szereplo információk nem minosülnek hivatalos ajánlattételnek! A változtatás jogát fenntartjuk. Hirdetésben szereplo képek illusztrációk!","új építésu","2023","duplakomfortos","BB","2","2","van","3 m-nél alacsonyabb","megújuló energia, mennyezeti hutés-futés","van","nincs megadva","nem","külön és egyben is","dél","panorámás","71.42 m²","nincs megadva","udvari beálló - megvásárolható","penthouse",NA,"2 300 000 Ft"
"161","XVII. kerület, Rákoscsaba-Újtelep","85,7 millió Ft","87 m²","4","Furmint házak II.A Naplás-tó tájvédelmi körzet közelében épülo Furmint házak emberi léptéku otthonokat kínálnak. A 15-16 lakásból álló házak 100 százalékban megújuló energiaforrást használnak (Stiebel Eltron futési-hutési rendszer), okosotthon megoldásaink (NGBS smart-home) biztosítják a teljesköru kényelmet.INNOVATÍV MEGOLDÁSOKA házak hutése és futése 100 százalékban megújuló forrásból, Stiebel Eltron által szállított rendszerrel. Az NGBS okosotthon vezérlésnek köszönhetoen Ön akár távolról, mobiltelefonja segítségével beállíthatja a ház homérsékletét, így otthonába érve tökéletes klíma fogadja.Lakásainkat a weboldalunkon letöltheto muszaki leírásban foglaltak alapján valósítjuk meg. Az abban foglaltaktól való eltérést csak az adott muszaki kivitelezés elotti idoszakban tudjuk megvalósítani.ZÖLD KÖRNYEZETAz otthon a nyugalom és a béke szigete egy rohanó világban. A Furmintházak Budapesten, de a természethez közel épülnek. A Naplás-tó szomszédságában valóban páratlan zöld környezet várja haza. VÁROS A VÁROSBANA Szololiget Öko-park területén 75 férohelyes óvoda és kétcsoportos bölcsode épül. A szintén felépítendo egészségügyi centrumban nem csak felnott és gyermekorvosi rendelo, de magán egészségügyi intézmények is elérhetoek lesznek az ide költözok számára. Parkon belüli tónál reprezentatív étterem várja az éhes vendégeket.A beruházás helye: Budapest XVII.kerület Cinkotai-Naplás útBeruházás kezdete: 2021.szeptemberMuszaki átadás várható ideje: 2023.tavaszProjekt videó: https://www.youtube.com/channel/UCl1gAVTLaiPwPk9mKX_iFRQFedett felszíni beállási lehetoség: 2.300.000.- Ft/db.A terasz 50%-ban beszámításra került a lakás méretébe.Szívesen várjuk elore egyeztetett idopontban, irodánkban egy személyes találkozóra (X. Salamon utca 2B), további részletek megbeszélésére. Ezen hirdetés és az abban szereplo információk nem minosülnek hivatalos ajánlattételnek! A változtatás jogát fenntartjuk. Hirdetésben szereplo képek illusztrációk!","új építésu","2023","duplakomfortos","BB","2","2","van","3 m-nél alacsonyabb","megújuló energia, mennyezeti hutés-futés","van","nincs megadva","nem","külön és egyben is","délnyugat","panorámás","71.42 m²","nem","udvari beálló - megvásárolható","penthouse",NA,"2 300 000 Ft"
"162","XVII. kerület, Rákoscsaba-Újtelep","80,5 millió Ft","81 m²","4","Furmint házak II.A Naplás-tó tájvédelmi körzet közelében épülo Furmint házak emberi léptéku otthonokat kínálnak. A 15-16 lakásból álló házak 100 százalékban megújuló energiaforrást használnak (Stiebel Eltron futési-hutési rendszer), okosotthon megoldásaink (NGBS smart-home) biztosítják a teljesköru kényelmet.INNOVATÍV MEGOLDÁSOKA házak hutése és futése 100 százalékban megújuló forrásból, Stiebel Eltron által szállított rendszerrel. Az NGBS okosotthon vezérlésnek köszönhetoen Ön akár távolról, mobiltelefonja segítségével beállíthatja a ház homérsékletét, így otthonába érve tökéletes klíma fogadja.Lakásainkat a weboldalunkon letöltheto muszaki leírásban foglaltak alapján valósítjuk meg. Az abban foglaltaktól való eltérést csak az adott muszaki kivitelezés elotti idoszakban tudjuk megvalósítani.ZÖLD KÖRNYEZETAz otthon a nyugalom és a béke szigete egy rohanó világban. A Furmintházak Budapesten, de a természethez közel épülnek. A Naplás-tó szomszédságában valóban páratlan zöld környezet várja haza. VÁROS A VÁROSBANA Szololiget Öko-park területén 75 férohelyes óvoda és kétcsoportos bölcsode épül. A szintén felépítendo egészségügyi centrumban nem csak felnott és gyermekorvosi rendelo, de magán egészségügyi intézmények is elérhetoek lesznek az ide költözok számára. Parkon belüli tónál reprezentatív étterem várja az éhes vendégeket.A beruházás helye: Budapest XVII.kerület Cinkotai-Naplás útBeruházás kezdete: 2021.szeptemberMuszaki átadás várható ideje: 2023.tavaszProjekt videó: https://www.youtube.com/channel/UCl1gAVTLaiPwPk9mKX_iFRQFedett felszíni beállási lehetoség: 2.300.000.- Ft/db.A terasz 50%-ban beszámításra került a lakás méretébe.Szívesen várjuk elore egyeztetett idopontban, irodánkban egy személyes találkozóra (X. Salamon utca 2B), további részletek megbeszélésére. Ezen hirdetés és az abban szereplo információk nem minosülnek hivatalos ajánlattételnek! A változtatás jogát fenntartjuk. Hirdetésben szereplo képek illusztrációk!","új építésu","2023","duplakomfortos","BB","2","2","van","3 m-nél alacsonyabb","megújuló energia, mennyezeti hutés-futés","van","nincs megadva","nem","külön és egyben is","délnyugat","panorámás","71.42 m²","nincs megadva","udvari beálló - megvásárolható","penthouse",NA,"2 300 000 Ft"
"163","XVII. kerület, Rákoscsaba-Újtelep","63,3 millió Ft","68 m²","3","Furmint házak II.A Naplás-tó tájvédelmi körzet közelében épülo Furmint házak emberi léptéku otthonokat kínálnak. A 15-16 lakásból álló házak 100 százalékban megújuló energiaforrást használnak (Stiebel Eltron futési-hutési rendszer), okosotthon megoldásaink (NGBS smart-home) biztosítják a teljesköru kényelmet.INNOVATÍV MEGOLDÁSOKA házak hutése és futése 100 százalékban megújuló forrásból, Stiebel Eltron által szállított rendszerrel. Az NGBS okosotthon vezérlésnek köszönhetoen Ön akár távolról, mobiltelefonja segítségével beállíthatja a ház homérsékletét, így otthonába érve tökéletes klíma fogadja.Lakásainkat a weboldalunkon letöltheto muszaki leírásban foglaltak alapján valósítjuk meg. Az abban foglaltaktól való eltérést csak az adott muszaki kivitelezés elotti idoszakban tudjuk megvalósítani.ZÖLD KÖRNYEZETAz otthon a nyugalom és a béke szigete egy rohanó világban. A Furmintházak Budapesten, de a természethez közel épülnek. A Naplás-tó szomszédságában valóban páratlan zöld környezet várja haza. VÁROS A VÁROSBANA Szololiget Öko-park területén 75 férohelyes óvoda és kétcsoportos bölcsode épül. A szintén felépítendo egészségügyi centrumban nem csak felnott és gyermekorvosi rendelo, de magán egészségügyi intézmények is elérhetoek lesznek az ide költözok számára. Parkon belüli tónál reprezentatív étterem várja az éhes vendégeket.A beruházás helye: Budapest XVII.kerület Cinkotai-Naplás útBeruházás kezdete: 2021.szeptemberMuszaki átadás várható ideje: 2023.tavaszProjekt videó: https://www.youtube.com/channel/UCl1gAVTLaiPwPk9mKX_iFRQFedett felszíni beállási lehetoség: 2.300.000.- Ft/db.A terasz 50%-ban beszámításra került a lakás méretébe.Szívesen várjuk elore egyeztetett idopontban, irodánkban egy személyes találkozóra (X. Salamon utca 2B), további részletek megbeszélésére. Ezen hirdetés és az abban szereplo információk nem minosülnek hivatalos ajánlattételnek! A változtatás jogát fenntartjuk. Hirdetésben szereplo képek illusztrációk!","új építésu","2023","nincs megadva","BB","1","2","van","3 m-nél alacsonyabb","megújuló energia, mennyezeti hutés-futés","van","nincs megadva","nem","külön helyiségben","délnyugat","udvari","27.46 m²","nem","udvari beálló - megvásárolható","nem tetotéri",NA,"2 300 000 Ft"
