"","address","price","area","noroom","description","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Építés éve","Panelprogram"
"500","XI. kerület, Hunyadi János út","97 millió Ft","128 m²","5","A XI. kerületben, Albertfalván eladásra kínálunk egy újépítésu 5 szobás, belso kétszintes lakást közel a Savoya Parkhoz.A lakás ára 97 millió Ft + 1 millió Ft a tároló, ami hozzá tartozik, valamint igényelheto garázs férohely is 4 millió Ft-ért.A Savoya-házban egyedülálló módon komoly hangsúlyt fektettek a megújuló energiafelhasználásra. A futés, hutés-melegvíz ellátást modern és gazdaságos levegos hoszivattyúk szolgáltatják. Egy késobbi lépésként a terveknek megfeleloen a tetore telepítendo naperomuvel a lakók a teljes rezsiköltséget lenullázhatják.Az ingatlan infrastruktúrája kiváló. A városközpontból vagy az autópályák irányából több villamos és busz vonal, valamint foútvonalak,illetve kerékpárút teszik könnyen és gyorsan megközelíthetové a társasházat. Befektetésre és saját célra egyaránt kiváló lehetoség. További információért, megtekintésért forduljon hozzám bizalommal!Referencia szám: U0039854","nincs megadva","nincs megadva","nincs megadva","6","nincs megadva","van","3 m-nél alacsonyabb","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA,NA
"501","XI. kerület, Derzsi utca","97 millió Ft","100 m²","3 + 1 fél","TULAJDONOSTÓL ELADÓ Albertfalván, a kedvelt köztisztviselo telepen egy 2 szintes, tetotér beépítéses nettó 100, brutto kb. 110-115 nm-es sorházi lakás kizárólagos hasznalatú kertkapcsolattalA házat MAGÁNSZEMÉLYKÉNT árulom, ingatlanközvetítoi segítségre nincs szükségem, így kérem, hogy közvetíto irodák ne keressenek.KÖRNYÉKROL:A köztisztviselo telep házai muemlékvédettek, így egyedi hangulatú, csendes utcák teszik különlegessé a kerület e részét.A sorház az egyik legcsendesebb utcában helyezkedik el. Az utca végén hangulatos park, illetve játszótér található.A ház ugyan csendes mellékutcában található, a tömegközlekedés kiváló: pár perces sétával elérheto 17-es, 47-es, 41-es és 56-os villamos, buszok, pl. sétatávolságra van a 7-es busz megállója is. Bevásárlási lehetoség pár perces sétával elérheto (pl. Príma, Lidl), autóval 5 perc a Savoya park. Bölcsode, több óvoda, iskola, felnott és gyermek háziorvosi rendelo, gyógyszertár gyalog kényelmesen elérheto.INGATLANRÓL:Teljes telekterület kb. 330 nm.Parkolni a ház elott van lehetoség.A házhoz a bejárat elott és mögött saját kertrész tartozik, az elokert burkolattal rendelkezik. A hátsó kert egy része járólappal fedett, nagyobb része füvesített kis virágoskerttel, árnyékot adó bodzafával, a hátsó kertben tárolásra, muhelymunkára alkalmas melléképület is található.A ház 2012-ben széles köru felújításon és átalakításon esett át (új burkolatok, konyha bútor, alsó szinten villamos- és vízvezetékcsere, beépített bútorok, tetofelújítás, eredeti fa parketta csiszolás és pácolás stb.). Az eredeti tervrajzon láthatók a méretek, az átalakítás utáni alaprajz pedig a jelenlegi állapotokat tükrözi.Az elokertbol nyílik a környékre jellemzo íves bejárat.Az alsó szinten eloszoba, egy 20 nm-es és egy 16 nm-es szoba (jelenleg nappali és étkezo), konyha, fürdoszoba (wc, zuhany) található. A konyhából, folyósóról nyílik a hátsó kerti bejárat. A felso szinten két szoba (jelenleg hálószobák), fürdoszoba (wc, kád) és egy kis tároló helyiség található. A hálószobákban Stanley beépített bútorok miatt nincs szükség plusz szekrényekre, a tárolás megoldott.A ház futését kondenzációs kazán biztosítja, mely 2020-ban lett a legmodernebb készülékre cserélve.A felso szinti szobákban légkondicionáló lett beszerelve, melynek kültéri egységei a hátsó kertben találhatók.","felújított","összkomfortos","BB","nincs megadva","2","nincs megadva","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","10 m²","igen","nincs megadva","utca, közterület - ingyenes",NA,"1950 elott",NA
"502","XIII. kerület, Jász utca","97 millió Ft","99 m²","4","Angyalföldön a Jász utcában 2014-ben épült társasházban 99m2-s erkélyes, 4 szoba + konyhás lakás eladó!A lakás egyedisége, hogy két hrsz számon van, az egyik lakás 56m2, + 7,94m2 erkély, a másik lakás 43m2+7,59m2 erkély. A két lakást a tulajdonosok össze nyitották, és hatalmas tereket alakítottak ki, és így alakult ki a 4 szoba, a 2 fürdoszoba, a 2 gardrób, a külön WC, külön konyha, és a két erkély.A lakás újszeru állapotban van, maximum tisztasági festést igényel! Amennyiben valakinek két lakásra van szüksége, az is megoldható, de akkor kicsit alakítani kell a lakáson!A lakáshoz opcionálisan vásárolható 2 db terem garázs beálló, és 1 tároló! Amennyiben egy újszeru nagyon jó elrendezésu és nagy terekkel rendelkezo lakást szeretne, és elony önnek a két hrsz szám, akkor ez a lakás ideális önnek!A garázs ára 3,500,000 Ft/db, a tároló ára: 1,500,000 Ft.Várom megtisztelo hívását!","jó állapotú","duplakomfortos","nincs megadva","1","4","van","3 m-nél alacsonyabb","gáz (cirko)","van","19 E Ft/hó","nincs megadva","külön helyiségben","nyugat","utcai","15 m²","nincs megadva","nincs megadva","teremgarázs hely - megvásárolható","3 000 000 Ft","2001 és 2010 között",NA
"503","VII. kerület, Külso-Erzsébetváros","97 millió Ft","108 m²","6","Az Állatorvostudományi Egyetem közvetlen szomszédságában, kiadási célra kialakított felújított lakás eladó.5 külön lakóegységet foglal magában, mindegyik saját fürdovel-wc-vel ellátott. A lakóegységek közül egyikben van galéria is. Mindegyik ablakos, világos.Egy nagy közös tér van, ami a nappali-étkezoJó hozammal eladó. 97000000 FtReferencia szám: H428796","felújított","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"504","XIV. kerület, Columbus utca","97 millió Ft","125 m²","4","2003-ban épült társasház  legnagyobb, belso két szintes, tágas, világos,  dupla komfortos lakása eladó csendes utcában, gyönyöru fás-lombos környezetben. A lakás két külön bejárattal rendelkezik, belülrol összejárható, tökéletes megoldás nagyobb család részére, illetve két generáció összeköltözésére.Fényképet kérésre küldök.","jó állapotú","duplakomfortos","nincs megadva","4","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","55 E Ft/hó","nincs megadva","külön és egyben is","délnyugat","kertre néz","11 m²","nem","zárószint","teremgarázs hely - megvásárolható","5 000 000 Ft","2001 és 2010 között",NA
"505","V. kerület, Belváros","97 millió Ft","100 m²","4","Egy kituno adottságú, jól alakítható lakást keres a Belváros egyik legszebb utcájában?Esetleg kialakítana belole 2 vagy 3 kisebb lakást?Eladó egy 5. emeleti (nem zárószint!), 100 m2-es, 3 szoba + alkóv + hallos lakás az V. kerületben, a Belváros egyik legszebben felújított utcájában, a gyönyöru Károlyi-kert szomszédságában.A ház homlokzata és lépcsoháza abszolút rendezett, jó állapotú, a lakás felújítandó. Kettos tájolása, alaprajza és a strangok elhelyezkedése miatt teljesen újra lehet gondolni a lakás belso kialakítását, sot, akár 2 vagy 3 lakást is ki lehet alakítani benne.Házközponti futése van a lakásnak egyedi méréssel, az adatlapon szereplo 60 eFt-os közös költség tartalmazza a futésköltséget, a víz- és csatornadíjat és az egyéb szokásos elemeket (takarítás, közös képviselet, biztosítás, felújítási alap, lift karbantartás, szemétszállítás, stb.), ezeken felül már csak az áramszámla és a fozés- valamint melegvíz-eloállítás gázdíja fizetendo.Elhelyezkedése presztízsértéku, félúton a Ferenciek tere és az Egyetem tér között.1/1-es tulajdon, per-, teher- és igénymentes, 1-2 hét alatt költözheto.További információkért, idopontért keressen akár hétvégén is!Egyedi igényekre szabott lakáshitelekkel állunk rendelkezésére. Bankfüggetlen hitelcentrumunk az országban elérheto összes bank és hitelintézet ajánlatát versenyezteti az Ön számára díjmentesen. Munkatársaink nagy szakmai tapasztalattal várják Önt az elore egyeztetett idopontban akár a normál munkaido után is.budapest belváros 5kerület 5.kerület vkerület v.kerület ferenciektere egyetemtér eladó lakás eladólakás 5.emelet 5emelet 100m2 tégla lift liftesház utcainézet házközponti házközpontifutésReferencia szám: H430203","felújítandó","nincs megadva","nincs megadva","5","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 és 1980 között",NA
"506","VII. kerület, Rottenbiller utca","97 millió Ft","108 m²","6","Az Állatorvostudományi Egyetem közvetlen szomszédságában, kiadási célra kialakított felújított lakás eladó.5 külön lakóegységet foglal magában, mindegyik saját fürdovel-wc-vel ellátott. A lakóegységek közül egyikben van galéria is. Mindegyik ablakos, világos.Egy nagy közös tér van, ami a nappali-étkezoJó hozammal eladó.","felújított","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"507","VI. kerület, Nagymezo utca","97 millió Ft","144 m²","4","Operett színház közelében kétszintes újszeru lakás , erkéllyel ***VI. kerületben, Pesti Broadway közelében, Nagymezo utcában található a 144 nm-es, IV. emeleti , kétszintes lakás 6nm-es intim balkonnal. (A szomszédos házak alacsonyabbak )A lakás nappali+3 hálós dupla fürdoszobával, szeparált konyhával,háztartási helyiséggel+ hatalmas gardrobe szobával.ALSÓ szint: eloszoba, nappali étkezovel, szeparált konyha, háló, gardróbszoba, fürdoszoba, wc-vel,FELSO szint: 2 hálószoba, gardróbszoba, fürdoszoba, wc +bide,A kétszintes lakás 2006-ban épült a tetotér beépítésével.Futése : gáz cirkoBelmagasság: 290 cm ( nappaliban van 580 cm-es belmagasság is, egy légtérben a felso szinttel)Nyáron a kellemes homérsékletrol légkondícionáló gondoskodik.Közös költség: 27 800 Ft/Hó ( vízórás)Az ingatlan bútorozott, AZONNAL KÖLTÖZHETO !!!Irányár: 100 M HUFIdeális választás, bérbeadásra.144 sqm, large, 4-roomed renovated flat, on the 4 th-floor,with balkone ( 6nm) The building is in the 6th district, near Broadway of Pest. View to the street.Környék:Az épület a Pesti Broadway közelében található. A környéken több színház (Moulin Rouge, Operett színház, Thália színház, Mikroszkóp színpad), étterem és szórakozóhely is megtalálható. A Városliget és Margitsziget 15 perc alatt elérheto.The property is in the 6th district, near Broadway of Pest with many theaters, restaurants, pubs and other entertainment facilities. Városliget and Margitsziget are only 15 minutes far.Megközelítés:Az ingatlan tömegközlekedéssel könnyen megközelítheto. Az Andrássy út 1 percre. A 4-es busz és földalatti megállója 3 perc sétára a 70-es és 78-as trolibuszok megállói 1 perc sétára, a 4-es, 6-os villamosok megállói 3 perc sétára találhatóak.You can approach the flat by bus (4), metro (1), tram (4, 6) and trolley (70, 78). All of them 1-3 minutes far.Muszaki leírás:A légkondícionált lakás cirkófutéssel rendelkezik.A szobák burkolata parketta, a vizes helyiségeknél kerámia járólapType of heating is circo. The flat is renovated.Belso megjegyzés:A ház kituno lakóközösséggel rendelkezik.","nincs megadva","nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","6 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"508","XI. kerület, Albertfalva","97 millió Ft","129 m²","5","DUNA PART SZOMSZÉDSÁGÁBAN 5 SZOBÁS, DUPLAKOMFORTOS, ÚJ ÉPÍTÉSU, NAPFÉNYES LAKÁS !!!Albertfalván a népszeru Duna part és Savoya Park közvetlen szomszédságában épülo új városnegyedbenvárja Tulajdonosát ez az otthon, amiben egyaránt jelen van a modern élettér, a zöld környezetés a Duna közelsége adta harmónia.A lakás ára 97 millió Ft + 1 millió Ft a tároló, ami hozzá tartozik, valamint igényelheto garázs férohely is 4 millió Ft-ért.Az ingatlan kedvezo elhelyezkedése miatt egy kellemes Duna-parti séta, vagy egy gyalogos bevásárlással összekötöttügyintézés is könnyen megteheto.Hogy valóban megteremtsék a 21. századi életstílust, nemzetközileg elismert városfejlesztési szakembereket,neves építészeket is bevontak a tervezésbe és gondolkodásba.A Savoya-házban egyedülálló módon komoly hangsúlyt fektettek a megújuló energiafelhasználásra.A futés, hutés-melegvíz ellátást modern és gazdaságos levegos hoszivattyúk szolgáltatják.Ezekkel biztosítjuk a lakások alacsony fenntartási költségét.Egy késobbi lépésként a terveknek megfeleloen a tetore telepítendo naperomuvel a lakók a teljes rezsiköltséget lenullázhatják.A városközpontból vagy az autópályák irányából több villamos és busz vonal, valamintfoútvonalak, illetve kerékpárút teszik könnyen és gyorsan megközelíthetové a társasházat.Befektetésre és saját célra egyaránt kiváló,ritka panorámája és tökéletes elhelyezkedése miatt minden idoben értékálló.","nincs megadva","duplakomfortos","nincs megadva","6","7","van","3 m-nél alacsonyabb","megújuló energia","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","dél","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"509","XI. kerület, Albertfalva","97 millió Ft","128 m²","5","Albertfalván a népszeru Duna part és Savoya Park közvetlen szomszédságában épülo új városnegyedbenkínálok eladásra olyan otthont, amiben egyaránt jelen van a modern élettér, a zöld környezetés a Duna közelsége adta harmónia.A lakás ára 97 millió Ft + 1 millió Ft a tároló, ami hozzá tartozik, valamint igényelheto garázs férohely is 4 millió Ft-ért.Az ingatlan kedvezo elhelyezkedése miatt egy kellemes Duna-parti séta, vagy egy gyalogos bevásárlással összekötöttügyintézés is könnyen megteheto.A Savoya-házban egyedülálló módon komoly hangsúlyt fektettek a megújuló energiafelhasználásra.A futés, hutés-melegvíz ellátást modern és gazdaságos levegos hoszivattyúk szolgáltatják.Ezekkel biztosítjuk a lakások alacsony fenntartási költségét.Egy késobbi lépésként a terveknek megfeleloen a tetore telepítendo naperomuvel a lakók a teljes rezsiköltséget lenullázhatják.Várom hívását a hét bármely napján.","nincs megadva","nincs megadva","nincs megadva","6","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"510","XI. kerület, Albertfalva","97 millió Ft","128 m²","5","Albertfalván a népszeru Duna part és Savoya Park közvetlen szomszédságában kínálunk eladásra egy belso kétszintes 128 m2-es, 5 szobás, napfényes ingatlant.A lakás ára 97 millió Ft + 1 millió Ft a tároló ami hozzá tartozik, valamint igényelheto garázs férohely is 4 millió Ft-ért.A Savoya-házban egyedülálló módon komoly hangsúlyt fektettek a megújuló energiafelhasználásra.A futés, hutés-melegvíz ellátást modern és gazdaságos levegos hoszivattyúk szolgáltatják.Ezekkel biztosítjuk a lakások alacsony fenntartási költségét.Egy késobbi lépésként a terveknek megfeleloen a tetore telepítendo naperomuvel a lakók a teljes rezsiköltséget lenullázhatják.A városközpontból vagy az autópályák irányából több villamos és busz vonal, valamintfoútvonalak, illetve kerékpárút teszik könnyen és gyorsan megközelíthetové a társasházat.Befektetésre és saját célra egyaránt kiváló.Kedvezo elhelyezkedése miatt minden idoben értékálló.További információért, megtekintésért forduljon hozzám bizalommal!","újszeru","összkomfortos","nincs megadva","6","nincs megadva","van","3 m-nél alacsonyabb","megújuló energia","nincs megadva","nincs megadva","igen","külön és egyben is","dél","panorámás","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"2020",NA
"511","IX. kerület, Ráday utca","97 millió Ft","109 m²","3","Eladó a IX. ker. legnépszerubb utcájában, a Ráday utcában egy 109 m2-es, 3 szobás, reprezentatív saroklakás!Az összes szoba utcai nézetu, dél-keleti tájolású, ragyogó napfényes! A három szobából ketto csendes mellékutcára néz, a harmadik szoba pedig a Ráday utca Kálvin térhez közelebb eso részére.A szobák gyönyöru tágasak és eredeti elemek ékesítik, például a régi spaletták, a réz ablak- és ajtókilincsek, a különleges mintázatban lerakott eredeti parketta, amelynek fénye még ma is káprázatos. Pár helyen a javítása már idoszeru, de összességében nagyon szép.A lakás teljes felújítása 2009-ben történt meg, ekkor teljesen új vezetékek és csövek, valamint cirkófutés került beépítésre. A legutóbbi festés pár hete történt meg, a lakás szép tiszta, azonnal birtokba veheto.A ház egy 1870-ben épült polgári sarokház, külso állapota nagyon szép, dekoratív, a belso része felújítás alatt áll, a teljes vízvezetékrendszer és elektromos hálózat újonnan lett cserélve és lift lett beépítve, ez a munka már be van fejezve, a vakolás és a festés hamarosan sorra kerül - és ezzel teljesen megújul ez a gyönyöru, 150 éves épület!A lokáció egyszeruen jobb nem is lehetne! A pár perc sétatávolságra lévo Kálvin téren felszállhatunk az M3 és M4 metróra és több villamos-és buszjáratra. Ha a Nagykörút felé indulunk el, akkor a 4-6, a 2. villamosokat, és a HÉV-et érhetjük el 10 perc alatt!Mindezek miatt a lakás bérbeadási célokra kiválóan alkalmas, de irodának és rendelonek is könnyedén kialakítható, erre az esetre a konyhaszekrényt egy szalagfüggönnyel el lehet rejteni és a konyhából egy mozdulattal fogadóhelyiséget / várót hozhatunk létre!Saját, lakás célú hasznosítás esetén Ön egy nagyon kényelmes, tágas és napfényes lakásba költözhet be Pest egyik legjobb helyén! Iskola, óvoda pár perces sétatávolságban van.","felújított","összkomfortos","nincs megadva","1","4","van","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","külön és egyben is","délkelet","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,"1950 elott",NA
"512","XIII. kerület, Danubius utca 9.","97,09 millió Ft","70 m²","3","""A Duna pesti oldalának mesés szakaszán, a Marina-parton épülo, négy csodálatos épületegyüttesbol álló lakópark, több mint 300 lenyugözoen modern, exkluzív kialakítású otthonnal vár! Az eloértékesítés megkezdodött!A Blu az elérheto városi luxus legmagasabb szintjét nyújtja, melyben a családok, egyedülállók, fiatalok, gyerekek és idosek egyaránt aktívabb életet élhetnek a relaxáció és kikapcsolódás lehetoségével. Egyedülálló koncepciónk tervezése során egy minden igényt kielégíto lakókörnyezetet hozunk létre, ami kiegyensúlyozottságot, nyugalmat és maximális kényelmet biztosít az intenzív nagyvárosi életmódot élok számára. Apartmanjaink izgalmas szolgáltatásokkal egészülnek ki – többek között lebilincselo zöld övezettel, közösségi irodával, gyereksarokkal, és wellness lehetoségekkel amik csak arra várnak, hogy birtokba vegye oket.""Bevezeto árak, Marina Part, kiemelkedo szolgáltatások,","új építésu","összkomfortos","nincs megadva","7","8","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","igen","külön helyiségben","északnyugat","utcai","27.25 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft","2025",NA
"513","XIV. kerület, Alsórákos - Paskálpark","97,2 millió Ft","74 m²","3","KIZÁRÓLAG AZ OTP INGATLANPONT KÍNÁLATÁBAN! ZÖLD OTTHON PROGRAMNAK MEGFELELO, HAMAROSAN KÖLTÖZHETO INGATLANOK!Budapest 14. kerületében, Zugló szívében korszeru építészeti megoldásokkal, több ütemben épülo PASKAL GARDEN lakóparkban kínálunk megvételre elegáns, élheto otthonokat. A beruházás tervezésekor kiemelt figyelmet kapott az épületek barátságos megjelenése, a korszeru, jól használható alaprajzok kialakítása, a világos életterek, és a megújított Rákos-patak csendes környezetével harmonizáló parkosított belso kert megvalósítása. A három épületbol álló elegáns lakópark otthonaiban a futési és hutési energiát környezetbarát levegos-hoszivattyú rendszer biztosítja, a holeadók a mennyezetbe épített, szabad szemmel nem látható huto-futo rendszerek, melyekkel a helyiségek homérséklete egyedileg szabályozható, akár intelligens/okos hálózat részeként.A lakóépületek a Rákos-patak közelében helyezkednek el, amelynek közvetlen környéke a beruházás keretein belül már megújult; a patak mellett parkosított zöldfelület épült, sétánnyal, padok és szökokút kialakításával. A zöld környezetet és a természet közelségét fokozza a földszinti lakások kertkapcsolata, illetve az emeleti lakásokhoz tartozó napfényes erkély vagy tágas terasz.Garázs és tároló vásárlása opcionális, az épületek alatti teremgarázsokban az összes lakás számára biztosít a beruházó parkolóhelyet, akár elektromos gépjármutöltovel.Mindegyik épületben megtalálható kisebb alapterületu, vagy akár több hálószobával rendelkezo ingatlan. A változatos méretu és alaprajzú lakástípusok között az elso lakást kereso fiatalok, a CSOK nyújtotta lehetoségeket kihasználni szándékozó családosok, vagy akár a befektetési céllal vásárlók is megtalálhatják álmaik otthonát. Az ""A"" épület tervezett átadása 2022. I. negyedév.","új építésu","összkomfortos","AA++","4","6","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, egyéb","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","dél","kertre néz","65 m²","nem","nincs megadva","teremgarázs hely - megvásárolható",NA,"2022",NA
"514","XIV. kerület, Alsórákos - Paskálpark","97,2 millió Ft","74 m²","3","KIZÁRÓLAG AZ OTP INGATLANPONT KÍNÁLATÁBAN! ZÖLD OTTHON PROGRAMNAK MEGFELELO, HAMAROSAN KÖLTÖZHETO INGATLANOK!Budapest 14. kerületében, Zugló szívében korszeru építészeti megoldásokkal, több ütemben épülo PASKAL GARDEN lakóparkban kínálunk megvételre elegáns, élheto otthonokat. A beruházás tervezésekor kiemelt figyelmet kapott az épületek barátságos megjelenése, a korszeru, jól használható alaprajzok kialakítása, a világos életterek, és a megújított Rákos-patak csendes környezetével harmonizáló parkosított belso kert megvalósítása. A három épületbol álló elegáns lakópark otthonaiban a futési és hutési energiát környezetbarát levegos-hoszivattyú rendszer biztosítja, a holeadók a mennyezetbe épített, szabad szemmel nem látható huto-futo rendszerek, melyekkel a helyiségek homérséklete egyedileg szabályozható, akár intelligens/okos hálózat részeként.A lakóépületek a Rákos-patak közelében helyezkednek el, amelynek közvetlen környéke a beruházás keretein belül már megújult; a patak mellett parkosított zöldfelület épült, sétánnyal, padok és szökokút kialakításával. A zöld környezetet és a természet közelségét fokozza a földszinti lakások kertkapcsolata, illetve az emeleti lakásokhoz tartozó napfényes erkély vagy tágas terasz.Garázs és tároló vásárlása opcionális, az épületek alatti teremgarázsokban az összes lakás számára biztosít a beruházó parkolóhelyet, akár elektromos gépjármutöltovel.Mindegyik épületben megtalálható kisebb alapterületu, vagy akár több hálószobával rendelkezo ingatlan. A változatos méretu és alaprajzú lakástípusok között az elso lakást kereso fiatalok, a CSOK nyújtotta lehetoségeket kihasználni szándékozó családosok, vagy akár a befektetési céllal vásárlók is megtalálhatják álmaik otthonát. Az ""A"" épület tervezett átadása 2021. december.","nincs megadva","duplakomfortos","nincs megadva","4","5","van","3 m-nél alacsonyabb","hoszivattyú","van","nincs megadva","igen","külön és egyben is","dél","kertre néz","65 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA,NA
"515","XI. kerület, Kánai út","97,2 millió Ft","69 m²","3","Az Atenor által fejlesztett Lake11 Home&Park egyedi tervezésu, környezettudatos otthonai csodás panorámával, Budapest 11. kerületében Koérbereken, közvetlenül a Kánai-tóra, a környezo budai dombokra vagy a gyönyöru belso kertre tájoltak és mindössze 10 percre találhatóak a budai belvárostól. Az épületeket négy kiváló építésziroda álmodta meg. A modern és letisztult, ugyanakkor önálló építészeti stílusjegyeket hordozó épületek és a természet között egységes tájépítészeti koncepció teremti meg a harmóniát. Az egyszobás stúdiólakástól a 2-3 és 4 hálószobás 150 m2-es családi, prémium és penthouse lakásokig, minden élethelyzetnek megfelelo lakástípus elérheto a lakóparkon belül. A hatalmas üvegablakokkal rendelkezo belso kétszintes DUPLEX apartmanjai, valamint extra nagy alapterületu prémium lakásai pedig valódi alternatívát kínálnak a családi házat keresok számára is.A hatalmas, zöld parkokkal körülvett modern élettérben lehetoséged lesz sportolni, kikapcsolódni, dolgozni, gyereket nevelni, pihenni és feltöltodni. Egyszóval élni. Ezt nyújtja az új Lake11 Home & Park. A te otthonod az életstílusodra és zöldre hangolva.Szinte minden városi szolgáltatás pár perc autózással elérheto, legyen szó moziról, bevásárlásról, találkozóhelyekrol. A gyors bejutáshoz persze nem kell mindig autót használni. A 187-es busz és a 41-es villamos is a lakóparknál áll meg. De az M1, M7 és M0 autópályák is könnyen elérhetoek, így nagyon gyorsan kijutunk a városból, akár a Velencei-tóra, akár a Balatonra indulunk. A Lake11 területén zöld parkok, csökkentett forgalmú sétálóutcák, kutyafuttató, játszótér és tó körüli futópálya gondoskodik az itt élok mindennapi kényelmérol és szabadtéri kikapcsolódásáról. A közelben számos lovarda, már kiépített uszoda, strand, fitneszterem, síiskola, tenisz- és squashpálya várja a beköltözoket. A lakóparkot körülölelo dombok, az Atenor fejleszto által telepített rengeteg fa által alkotott belso pihenokertek és park office lehetoségek a tóparttal pedig megteremtik a legfontosabbat: a természet közelségét, hogy minden egyensúlyba kerüljön. A Kánai-tó körül kiépülo sétány és futópálya, piheno pontokkal megújuló óriási zöld park, család- és gyermekbarát fejlesztések várják majd az itt éloket.A LAKE11 minden otthona az átlagnál tágasabb belso terekkel, jól kihasználható teraszokkal, igényes homlokzati burkolatokkal, a legkorszerubb muszaki, valamint okosotthon-megoldásokkal várja leendo lakóit. Az alapárban gépesített konyhát és külso árnyékolót kínálunk. A fejlesztés keretén belül az ATENOR a közvetlen helyi infrastruktúrát is fejleszti többek közt orvosi rendelo létesítésével.                                                                                                                                                                                 Az elsok között regisztrációs szerzodést aláíró kedves ügyfeleink számára, jelentos elonnyel kínáljuk lakásainkat!  • Bevezeto árak• Mindössze 2 M Ft regisztrációs díjjal és kedvezo fizetési ütemezéssel lefoglalhatja leendo új otthonát• A jelenlegi lakás alaprajzok építészeti kialakítása még díjmentesen módosítható • Minden lakáshoz foglalható gépkocsibeálló• Az alapárban gépesített konyhát és külso árnyékolót kínálunk.","új építésu","nincs megadva","nincs megadva","1","3","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","26.02 m²","nem","nem tetotéri","teremgarázs hely",NA,"2023",NA
"516","VI. kerület, Bajcsy-Zsilinszky út 17.","97,2 millió Ft","99 m²","2 + 1 fél","Eladásra kínálunk egy 1862-ben épült Ybl Miklós által tervezett épületben egy 99 m2-es lakást. Az épület közvetlen a Szent István bazilika mellett található. A Bajcsy-Zsilinszky út Budapest belvárosának egyik legjelentosebb útja. Az V. és a VI. kerület határvonalát képezi. Közvetlen közelében a Bajcsy-Zsilinszky úti metró megálló valamint a Deák tér is csak pár perc sétára van az ingatlantól. Az épületnek nagyon szép karbantartott közös zöld kertje van ami növeli az épület hangulatát. A lakás a 3.emeleten található egy nagyon szépen karbantartott lépcsoházban ahol hívó lift található a klasszikus körfolyosós lépcsoházban. A lakásban található 2 és fél szoba, konyha, fürdoszoba és eloszoba. Nagy szoba méretei miatt és nagy belmagassága miatt könnyen galériázható. A lakást saját illetve befektetés céljából is tudjuk ajánlani, hiszen kellemes belvárosi hangulata miatt nagyon könnyen kiadható és saját célra is kiválóan alkamas. Megtekintheto elöre egyeztetett idopontban, bármilyen egyéb kérdés merülne fel, kérem hívja a hírdetésben szereplo második számot.","felújítandó","összkomfortos","nincs megadva","3","4","van","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nem","egy helyiségben","északnyugat","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,"1950 elott",NA
